"brand","wave","gt_index","wave_date"
"DraftKings","2024-06",23.3394495412844,2024-06-01
"DraftKings","2024-07",23.3394495412844,2024-07-01
"DraftKings","2024-08",31.605504587156,2024-08-01
"DraftKings","2024-09",49.531498470948,2024-09-01
"DraftKings","2024-10",41.8165137614679,2024-10-01
"DraftKings","2024-11",47.8134556574924,2024-11-01
"DraftKings","2024-12",35.7871559633028,2024-12-01
"DraftKings","2025-01",38.0886850152905,2025-01-01
"DraftKings","2025-02",35.17125382263,2025-02-01
"DraftKings","2025-03",25.2844036697248,2025-03-01
"DraftKings","2025-04",26.5810397553517,2025-04-01
"DraftKings","2025-05",23.177370030581,2025-05-01
"DraftKings","2025-06",23.080122324159,2025-06-01
"FanDuel","2024-06",22.7979971099237,2024-06-01
"FanDuel","2024-07",22.2636690526599,2024-07-01
"FanDuel","2024-08",24.4009812817152,2024-08-01
"FanDuel","2024-09",46.0234566656585,2024-09-01
"FanDuel","2024-10",54.5014618409114,2024-10-01
"FanDuel","2024-11",53.4328057263837,2024-11-01
"FanDuel","2024-12",49.4431562321471,2024-12-01
"FanDuel","2025-01",50.7611654400645,2025-01-01
"FanDuel","2025-02",44.705447457741,2025-02-01
"FanDuel","2025-03",44.1711194004772,2025-03-01
"FanDuel","2025-04",45.0616661625836,2025-04-01
"FanDuel","2025-05",32.9502301979366,2025-05-01
"FanDuel","2025-06",30.919783580334,2025-06-01
"Kalshi","2024-06",1.54361438765108,2024-06-01
"Kalshi","2024-07",1.54361438765108,2024-07-01
"Kalshi","2024-08",1.54361438765108,2024-08-01
"Kalshi","2024-09",1.8523372651813,2024-09-01
"Kalshi","2024-10",16.9797582641619,2024-10-01
"Kalshi","2024-11",41.2916848696665,2024-11-01
"Kalshi","2024-12",1.8523372651813,2024-12-01
"Kalshi","2025-01",3.85903596912771,2025-01-01
"Kalshi","2025-02",3.85903596912771,2025-02-01
"Kalshi","2025-03",2.77850589777195,2025-03-01
"Kalshi","2025-04",3.08722877530217,2025-04-01
"Kalshi","2025-05",3.47313237221494,2025-05-01
"Kalshi","2025-06",7.40934906072521,2025-06-01
"PolyMarket","2024-06",4.63084316295325,2024-06-01
"PolyMarket","2024-07",10.4193971166448,2024-07-01
"PolyMarket","2024-08",15.6290956749672,2024-08-01
"PolyMarket","2024-09",19.912625600699,2024-09-01
"PolyMarket","2024-10",77.566622979467,2024-10-01
"PolyMarket","2024-11",74.0934906072521,2024-11-01
"PolyMarket","2024-12",5.55701179554391,2024-12-01
"PolyMarket","2025-01",8.1039755351682,2025-01-01
"PolyMarket","2025-02",5.78855395369157,2025-02-01
"PolyMarket","2025-03",5.55701179554391,2025-03-01
"PolyMarket","2025-04",6.94626474442988,2025-04-01
"PolyMarket","2025-05",6.36740934906072,2025-05-01
"PolyMarket","2025-06",12.0401922236785,2025-06-01
"PrizePicks","2024-06",9.72477064220184,2024-06-01
"PrizePicks","2024-07",8.26605504587156,2024-07-01
"PrizePicks","2024-08",9.23853211009174,2024-08-01
"PrizePicks","2024-09",18.0232415902141,2024-09-01
"PrizePicks","2024-10",22.2048929663609,2024-10-01
"PrizePicks","2024-11",23.3394495412844,2024-11-01
"PrizePicks","2024-12",23.4691131498471,2024-12-01
"PrizePicks","2025-01",25.9327217125382,2025-01-01
"PrizePicks","2025-02",28.6880733944954,2025-02-01
"PrizePicks","2025-03",19.319877675841,2025-03-01
"PrizePicks","2025-04",17.9908256880734,2025-04-01
"PrizePicks","2025-05",13.9388379204893,2025-05-01
"PrizePicks","2025-06",13.874006116208,2025-06-01
"Robinhood","2024-06",56.2691131498471,2024-06-01
"Robinhood","2024-07",53.2110091743119,2024-07-01
"Robinhood","2024-08",51.6819571865443,2024-08-01
"Robinhood","2024-09",46.2385321100917,2024-09-01
"Robinhood","2024-10",63.914373088685,2024-10-01
"Robinhood","2024-11",100,2024-11-01
"Robinhood","2024-12",95.6574923547401,2024-12-01
"Robinhood","2025-01",92.0489296636086,2025-01-01
"Robinhood","2025-02",88.6850152905199,2025-02-01
"Robinhood","2025-03",81.4678899082569,2025-03-01
"Robinhood","2025-04",77.9816513761468,2025-04-01
"Robinhood","2025-05",69.4189602446483,2025-05-01
"Robinhood","2025-06",77.5535168195719,2025-06-01
"bet365","2024-06",7.11568583575744,2024-06-01
"bet365","2024-07",6.72036995599314,2024-07-01
"bet365","2024-08",7.31334377563959,2024-08-01
"bet365","2024-09",9.8038338181547,2024-09-01
"bet365","2024-10",10.0805549339897,2024-10-01
"bet365","2024-11",9.2899231744611,2024-11-01
"bet365","2024-12",8.69694935481465,2024-12-01
"bet365","2025-01",8.69694935481465,2025-01-01
"bet365","2025-02",8.4992914149325,2025-02-01
"bet365","2025-03",9.01320205862609,2025-03-01
"bet365","2025-04",9.48758111434325,2025-04-01
"bet365","2025-05",7.51100171552174,2025-05-01
"bet365","2025-06",58.348623853211,2025-06-01
